ImageID,"ArtistName","ImageName","Path",VideoFile,AudioFile,TextFile
,"Issy Wood","IssyWood.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Ivy Haldeman","IvyHaldeman.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jamian Juliano Villani","JamianJulianoVillani.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jennifer Packer","JenniferPacker.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jenny Saville","JennySaville.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jessie Makinson","JessieMakinson.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Jordan Casteel","JordanCasteel.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Kandinsky","Kandinsky.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Kandinsky.mp4,,
,"Katherine Bernhardt","KatherineBernhardt.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Katherine Bradford","KatherineBradford.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Kelly Reemtsen","KellyReemtsen.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Lisa Yuskavage","LisaYuskavage.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Loie Hollowell","LoieHollowell.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Louise Bonnet","LouiseBonnet.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Luzian Gryczan","LuzianGryczan.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\LuzianGryczan.mp4,,
,"Lynette Yiadom Boakye","LynetteYiadomBoakye.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Max Ernst","MaxErnst.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\MaxErnst.mp4,,
,"Mernet Larsen","MernetLarsen.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Mira Schor","MiraSchor.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"MyFileList","MyFileList.csv","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Natalie Frank","NatalieFrank.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Nicola Tyson","NicolaTyson.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Nicole Eisenman","NicoleEisenman.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Nina Chanel Abney","NinaChanelAbney.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Njideka Akunyili Crosby","NjidekaAkunyiliCrosby.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Nobuyoshi Araki","NobuyoshiAraki.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\NobuyoshiAraki.mp4,,
,"Paola Pivi","PaolaPivi.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Picasso","Picasso.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Picasso.mp4,,
,"Portia Munson","PortiaMunson.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Rita Ackermann","RitaAckermann.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Robin F Williams","RobinFWilliams.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Ruby Neri","RubyNeri.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Serena Stevens","SerenaStevens.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Shara Hughes","SharaHughes.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"SojournerTruthParsons","SojournerTruthParsons.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Sue Williams","SueWilliams.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Tschabalala Self","TschabalalaSelf.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Vanessa German","VanessaGerman.jpeg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Warhol","Warhol.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",,,
,"Wolfgang Paalen","WolfgangPaalen.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Wolfgang Paalen.mp4,,
,"Wols","Wols.jpg","C:\Users\jan\Documents\VSCode\ImgMatchFlet\ImageRecApp\ImagesQuery",ImageRecApp\MoviesQuery\Wols.mp4,,
